1	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	182.1170	31.9325	14.6185	35.9966	17.9983	3.9342
	182.1370	31.9377	14.6189	36.0025	18.0013	3.9342
	182.1570	31.9426	14.6196	36.0083	18.0042	3.9342
	182.1770	31.9477	14.6198	36.0143	18.0072	3.9342
	182.1970	31.9528	14.6208	36.0202	18.0101	3.9342
	182.2170	31.9577	14.6208	36.0260	18.0130	3.9342
	182.2370	31.9626	14.6201	36.0317	18.0159	3.9342
	182.2570	31.9674	14.6191	36.0374	18.0187	3.9342
	182.2770	31.9726	14.6185	36.0434	18.0217	3.9342
	182.2970	31.9775	14.6195	36.0491	18.0246	3.9342
	182.3170	31.9826	14.6200	36.0550	18.0275	3.9342
	182.3370	31.9876	14.6207	36.0609	18.0304	3.9342
	182.3570	31.9925	14.6206	36.0667	18.0333	3.9342
	182.3770	31.9976	14.6209	36.0726	18.0363	3.9342
	182.3970	32.0025	14.6213	36.0783	18.0392	3.9342
	182.4170	32.0075	14.6211	36.0842	18.0421	3.9342
	182.4370	32.0125	14.6213	36.0901	18.0450	3.9342
	182.4570	32.0175	14.6217	36.0959	18.0479	3.9342
	182.4770	32.0225	14.6221	36.1017	18.0509	3.9342
	182.4970	32.0276	14.6225	36.1077	18.0538	3.9342
	182.5170	32.0326	14.6232	36.1135	18.0567	3.9342
	182.5370	32.0377	14.6239	36.1195	18.0597	3.9342
	182.5570	32.0426	14.6247	36.1252	18.0626	3.9342
	182.5770	32.0475	14.6235	36.1309	18.0655	3.9342
	182.5970	32.0525	14.6226	36.1367	18.0684	3.9342
	182.6170	32.0575	14.6225	36.1426	18.0713	3.9342
	182.6370	32.0627	14.6235	36.1487	18.0744	3.9342
	182.6570	32.0676	14.6250	36.1544	18.0772	3.9342
	182.6770	32.0726	14.6250	36.1603	18.0801	3.9342
	182.6970	32.0776	14.6249	36.1660	18.0830	3.9342
	182.7170	32.0826	14.6245	36.1719	18.0860	3.9342
	182.7370	32.0876	14.6252	36.1778	18.0889	3.9342
	182.7570	32.0925	14.6254	36.1835	18.0917	3.9342
	182.7770	32.0976	14.6251	36.1894	18.0947	3.9342
	182.7970	32.1025	14.6256	36.1952	18.0976	3.9342
	182.8170	32.1076	14.6258	36.2011	18.1006	3.9342
	182.8370	32.1127	14.6267	36.2071	18.1035	3.9342
	182.8570	32.1177	14.6276	36.2130	18.1065	3.9342
	182.8770	32.1228	14.6285	36.2189	18.1095	3.9342
	182.8970	32.1278	14.6288	36.2247	18.1124	3.9342
	182.9170	32.1326	14.6278	36.2304	18.1152	3.9342
	182.9370	32.1376	14.6265	36.2362	18.1181	3.9342
	182.9570	32.1427	14.6266	36.2421	18.1211	3.9342
	182.9770	32.1477	14.6272	36.2480	18.1240	3.9342
	182.9970	32.1527	14.6281	36.2538	18.1269	3.9342
	183.0170	32.1576	14.6286	36.2595	18.1298	3.9342
	183.0370	32.1627	14.6284	36.2655	18.1327	3.9342
	183.0570	32.1675	14.6286	36.2712	18.1356	3.9342
	183.0770	32.1726	14.6283	36.2771	18.1385	3.9342
	183.0970	32.1775	14.6286	36.2829	18.1414	3.9342
	183.1170	32.1825	14.6286	36.2887	18.1444	3.9342
	183.1370	32.1877	14.6292	36.2947	18.1474	3.9342
	183.1570	32.1926	14.6301	36.3005	18.1502	3.9342
	183.1770	32.1978	14.6304	36.3066	18.1533	3.9342
	183.1970	32.2028	14.6312	36.3124	18.1562	3.9342
	183.2170	32.2079	14.6316	36.3183	18.1592	3.9342
	183.2370	32.2128	14.6317	36.3241	18.1620	3.9342
	183.2570	32.2176	14.6303	36.3297	18.1649	3.9342
	183.2770	32.2226	14.6292	36.3355	18.1678	3.9342
	183.2970	32.2276	14.6294	36.3414	18.1707	3.9342
	183.3170	32.2327	14.6303	36.3474	18.1737	3.9342
	183.3370	32.2377	14.6311	36.3532	18.1766	3.9342
	183.3570	32.2426	14.6312	36.3589	18.1795	3.9342
	183.3770	32.2476	14.6307	36.3648	18.1824	3.9342
	183.3970	32.2527	14.6309	36.3707	18.1853	3.9342
	183.4170	32.2575	14.6315	36.3764	18.1882	3.9342
	183.4370	32.2626	14.6314	36.3823	18.1912	3.9342
	183.4570	32.2676	14.6319	36.3882	18.1941	3.9342
	183.4770	32.2726	14.6319	36.3940	18.1970	3.9342
	183.4970	32.2776	14.6323	36.3999	18.1999	3.9342
	183.5170	32.2826	14.6329	36.4057	18.2029	3.9342
	183.5370	32.2878	14.6335	36.4118	18.2059	3.9342
	183.5570	32.2927	14.6346	36.4175	18.2087	3.9342
	183.5770	32.2977	14.6341	36.4233	18.2117	3.9342
	183.5970	32.3026	14.6334	36.4290	18.2145	3.9342
	183.6170	32.3075	14.6324	36.4349	18.2174	3.9342
	183.6370	32.3126	14.6328	36.4408	18.2204	3.9342
	183.6570	32.3176	14.6338	36.4467	18.2233	3.9342
	183.6770	32.3227	14.6343	36.4525	18.2263	3.9342
	183.6970	32.3275	14.6344	36.4582	18.2291	3.9342
	183.7170	32.3326	14.6339	36.4641	18.2320	3.9342
	183.7370	32.3376	14.6339	36.4699	18.2350	3.9342
	183.7570	32.3425	14.6341	36.4757	18.2379	3.9342
	183.7770	32.3475	14.6344	36.4815	18.2408	3.9342
	183.7970	32.3525	14.6348	36.4874	18.2437	3.9342
	183.8170	32.3575	14.6351	36.4932	18.2466	3.9342
	183.8370	32.3625	14.6352	36.4991	18.2496	3.9342
	183.8570	32.3677	14.6362	36.5051	18.2526	3.9342
	183.8770	32.3728	14.6371	36.5111	18.2555	3.9342
	183.8970	32.3778	14.6379	36.5170	18.2585	3.9342
	183.9170	32.3826	14.6379	36.5226	18.2613	3.9342
	183.9370	32.3876	14.6365	36.5284	18.2642	3.9342
	183.9570	32.3925	14.6358	36.5342	18.2671	3.9342
	183.9770	32.3975	14.6356	36.5400	18.2700	3.9342
	183.9970	32.4026	14.6366	36.5459	18.2730	3.9342
	184.0170	32.4075	14.6371	36.5517	18.2758	3.9342
	184.0370	32.4125	14.6373	36.5575	18.2787	3.9342
	184.0570	32.4174	14.6374	36.5633	18.2816	3.9342
	184.0770	32.4226	14.6374	36.5693	18.2846	3.9342
	184.0970	32.4275	14.6383	36.5750	18.2875	3.9342
	184.1170	32.4326	14.6387	36.5810	18.2905	3.9342
	184.1370	32.4376	14.6394	36.5869	18.2934	3.9342
	184.1570	32.4426	14.6397	36.5927	18.2963	3.9342
	184.1770	32.4476	14.6398	36.5986	18.2993	3.9342
	184.1970	32.4527	14.6405	36.6045	18.3023	3.9342
	184.2170	32.4578	14.6414	36.6105	18.3053	3.9342
	184.2370	32.4628	14.6418	36.6163	18.3081	3.9342
	184.2570	32.4677	14.6413	36.6220	18.3110	3.9342
	184.2770	32.4725	14.6400	36.6277	18.3138	3.9342
	184.2970	32.4776	14.6390	36.6336	18.3168	3.9342
	184.3170	32.4825	14.6396	36.6394	18.3197	3.9342
	184.3370	32.4877	14.6402	36.6454	18.3227	3.9342
	184.3570	32.4927	14.6412	36.6512	18.3256	3.9342
	184.3770	32.4976	14.6413	36.6570	18.3285	3.9342
	184.3970	32.5027	14.6416	36.6629	18.3314	3.9342
	184.4170	32.5076	14.6416	36.6686	18.3343	3.9342
	184.4370	32.5127	14.6413	36.6746	18.3373	3.9342
	184.4570	32.5175	14.6417	36.6803	18.3401	3.9342
	184.4770	32.5226	14.6417	36.6862	18.3431	3.9342
	184.4970	32.5276	14.6424	36.6920	18.3460	3.9342
	184.5170	32.5326	14.6425	36.6979	18.3489	3.9342
	184.5370	32.5377	14.6431	36.7038	18.3519	3.9342
	184.5570	32.5427	14.6438	36.7097	18.3549	3.9342
	184.5770	32.5478	14.6442	36.7156	18.3578	3.9342
	184.5970	32.5526	14.6439	36.7212	18.3606	3.9342
	184.6170	32.5575	14.6425	36.7270	18.3635	3.9342
	184.6370	32.5626	14.6421	36.7329	18.3665	3.9342
	184.6570	32.5677	14.6428	36.7389	18.3694	3.9342
	184.6770	32.5726	14.6439	36.7447	18.3723	3.9342
	184.6970	32.5777	14.6443	36.7505	18.3753	3.9342
	184.7170	32.5826	14.6442	36.7563	18.3782	3.9342
	184.7370	32.5876	14.6438	36.7621	18.3811	3.9342
	184.7570	32.5926	14.6440	36.7680	18.3840	3.9342
	184.7770	32.5975	14.6441	36.7738	18.3869	3.9342
	184.7970	32.6025	14.6442	36.7796	18.3898	3.9342
	184.8170	32.6075	14.6446	36.7854	18.3927	3.9342
	184.8370	32.6126	14.6446	36.7914	18.3957	3.9342
	184.8570	32.6176	14.6453	36.7972	18.3986	3.9342
	184.8770	32.6227	14.6460	36.8032	18.4016	3.9342
	184.8970	32.6278	14.6470	36.8092	18.4046	3.9342
	184.9170	32.6328	14.6474	36.8150	18.4075	3.9342
	184.9370	32.6377	14.6468	36.8207	18.4103	3.9342
	184.9570	32.6425	14.6456	36.8264	18.4132	3.9342
	184.9770	32.6477	14.6449	36.8324	18.4162	3.9342
	184.9970	32.6526	14.6457	36.8382	18.4191	3.9342
	185.0170	32.6576	14.6461	36.8440	18.4220	3.9342
	185.0370	32.6626	14.6466	36.8498	18.4249	3.9342
	185.0570	32.6676	14.6464	36.8557	18.4278	3.9342
	185.0770	32.6726	14.6465	36.8615	18.4307	3.9342
	185.0970	32.6775	14.6466	36.8673	18.4336	3.9342
	185.1170	32.6826	14.6467	36.8732	18.4366	3.9342
	185.1370	32.6876	14.6473	36.8791	18.4395	3.9342
	185.1570	32.6926	14.6479	36.8849	18.4425	3.9342
	185.1770	32.6976	14.6483	36.8907	18.4454	3.9342
	185.1970	32.7027	14.6484	36.8967	18.4484	3.9342
	185.2170	32.7077	14.6489	36.9025	18.4513	3.9342
	185.2370	32.7128	14.6492	36.9085	18.4542	3.9342
	185.2570	32.7177	14.6496	36.9142	18.4571	3.9342
	185.2770	32.7225	14.6486	36.9199	18.4599	3.9342
	185.2970	32.7275	14.6477	36.9257	18.4628	3.9342
	185.3170	32.7325	14.6475	36.9315	18.4658	3.9342
	185.3370	32.7377	14.6481	36.9375	18.4688	3.9342
	185.3570	32.7426	14.6495	36.9433	18.4716	3.9342
	185.3770	32.7476	14.6500	36.9492	18.4746	3.9342
	185.3970	32.7525	14.6502	36.9549	18.4775	3.9342
	185.4170	32.7576	14.6499	36.9608	18.4804	3.9342
	185.4370	32.7626	14.6505	36.9667	18.4833	3.9342
	185.4570	32.7675	14.6508	36.9725	18.4862	3.9342
	185.4770	32.7726	14.6508	36.9784	18.4892	3.9342
	185.4970	32.7775	14.6512	36.9841	18.4921	3.9342
	185.5170	32.7825	14.6510	36.9900	18.4950	3.9342
	185.5370	32.7876	14.6514	36.9959	18.4979	3.9342
	185.5570	32.7927	14.6520	37.0018	18.5009	3.9342
	185.5770	32.7977	14.6532	37.0077	18.5039	3.9342
	185.5970	32.8027	14.6537	37.0136	18.5068	3.9342
	185.6170	32.8076	14.6532	37.0193	18.5097	3.9342
	185.6370	32.8126	14.6520	37.0251	18.5126	3.9342
	185.6570	32.8176	14.6519	37.0310	18.5155	3.9342
	185.6770	32.8227	14.6523	37.0369	18.5184	3.9342
	185.6970	32.8277	14.6530	37.0428	18.5214	3.9342
	185.7170	32.8325	14.6533	37.0484	18.5242	3.9342
	185.7370	32.8376	14.6528	37.0544	18.5272	3.9342
	185.7570	32.8425	14.6531	37.0601	18.5301	3.9342
	185.7770	32.8475	14.6531	37.0659	18.5330	3.9342
	185.7970	32.8525	14.6534	37.0718	18.5359	3.9342
	185.8170	32.8575	14.6535	37.0776	18.5388	3.9342
	185.8370	32.8626	14.6540	37.0835	18.5418	3.9342
	185.8570	32.8675	14.6547	37.0893	18.5447	3.9342
	185.8770	32.8727	14.6553	37.0954	18.5477	3.9342
	185.8970	32.8778	14.6564	37.1013	18.5507	3.9342
	185.9170	32.8829	14.6570	37.1073	18.5536	3.9342
	185.9370	32.8878	14.6572	37.1130	18.5565	3.9342
	185.9570	32.8926	14.6559	37.1187	18.5593	3.9342
	185.9770	32.8976	14.6544	37.1245	18.5622	3.9342
	185.9970	32.9026	14.6543	37.1303	18.5652	3.9342
	186.0170	32.9077	14.6550	37.1362	18.5681	3.9342
	186.0370	32.9126	14.6558	37.1421	18.5710	3.9342
	186.0570	32.9176	14.6561	37.1478	18.5739	3.9342
	186.0770	32.9225	14.6558	37.1536	18.5768	3.9342
	186.0970	32.9276	14.6555	37.1596	18.5798	3.9342
	186.1170	32.9325	14.6558	37.1653	18.5826	3.9342
	186.1370	32.9376	14.6561	37.1713	18.5856	3.9342
	186.1570	32.9426	14.6570	37.1771	18.5886	3.9342
	186.1770	32.9476	14.6572	37.1829	18.5915	3.9342
	186.1970	32.9526	14.6573	37.1888	18.5944	3.9342
	186.2170	32.9576	14.6574	37.1947	18.5973	3.9342
	186.2370	32.9628	14.6578	37.2007	18.6004	3.9342
	186.2570	32.9677	14.6590	37.2065	18.6032	3.9342
	186.2770	32.9727	14.6588	37.2123	18.6061	3.9342
	186.2970	32.9776	14.6580	37.2179	18.6090	3.9342
	186.3170	32.9825	14.6565	37.2237	18.6119	3.9342
	186.3370	32.9876	14.6566	37.2297	18.6148	3.9342
	186.3570	32.9926	14.6577	37.2356	18.6178	3.9342
	186.3770	32.9977	14.6587	37.2415	18.6207	3.9342
	186.3970	33.0026	14.6591	37.2472	18.6236	3.9342
	186.4170	33.0076	14.6589	37.2531	18.6265	3.9342
	186.4370	33.0126	14.6588	37.2589	18.6295	3.9342
	186.4570	33.0176	14.6587	37.2647	18.6324	3.9342
	186.4770	33.0225	14.6588	37.2705	18.6353	3.9342
	186.4970	33.0276	14.6588	37.2764	18.6382	3.9342
	186.5170	33.0326	14.6594	37.2822	18.6411	3.9342
	186.5370	33.0376	14.6595	37.2881	18.6440	3.9342
	186.5570	33.0426	14.6600	37.2939	18.6470	3.9342
	186.5770	33.0477	14.6603	37.2999	18.6499	3.9342
	186.5970	33.0528	14.6612	37.3058	18.6529	3.9342
	186.6170	33.0576	14.6616	37.3114	18.6557	3.9342
	186.6370	33.0626	14.6604	37.3173	18.6586	3.9342
	186.6570	33.0675	14.6600	37.3231	18.6616	3.9342
	186.6770	33.0726	14.6603	37.3290	18.6645	3.9342
	186.6970	33.0776	14.6613	37.3349	18.6675	3.9342
	186.7170	33.0826	14.6619	37.3407	18.6703	3.9342
	186.7370	33.0875	14.6617	37.3464	18.6732	3.9342
	186.7570	33.0925	14.6616	37.3522	18.6761	3.9342
	186.7770	33.0976	14.6618	37.3582	18.6791	3.9342
	186.7970	33.1025	14.6624	37.3640	18.6820	3.9342
	186.8170	33.1075	14.6626	37.3698	18.6849	3.9342
	186.8370	33.1126	14.6631	37.3757	18.6879	3.9342
	186.8570	33.1176	14.6632	37.3816	18.6908	3.9342
	186.8770	33.1226	14.6635	37.3875	18.6937	3.9342
	186.8970	33.1277	14.6640	37.3934	18.6967	3.9342
	186.9170	33.1328	14.6650	37.3994	18.6997	3.9342
	186.9370	33.1378	14.6654	37.4052	18.7026	3.9342
	186.9570	33.1427	14.6651	37.4109	18.7055	3.9342
	186.9770	33.1475	14.6638	37.4166	18.7083	3.9342
	186.9970	33.1526	14.6625	37.4225	18.7113	3.9342
	187.0170	33.1575	14.6629	37.4282	18.7141	3.9342
	187.0370	33.1626	14.6635	37.4342	18.7171	3.9342
	187.0570	33.1676	14.6645	37.4400	18.7200	3.9342
	187.0770	33.1725	14.6645	37.4458	18.7229	3.9342
	187.0970	33.1776	14.6646	37.4517	18.7259	3.9342
	187.1170	33.1825	14.6651	37.4575	18.7287	3.9342
	187.1370	33.1876	14.6650	37.4635	18.7317	3.9342
	187.1570	33.1925	14.6654	37.4691	18.7346	3.9342
	187.1770	33.1976	14.6657	37.4751	18.7376	3.9342
	187.1970	33.2026	14.6662	37.4810	18.7405	3.9342
	187.2170	33.2076	14.6665	37.4868	18.7434	3.9342
	187.2370	33.2127	14.6670	37.4928	18.7464	3.9342
	187.2570	33.2178	14.6676	37.4987	18.7493	3.9342
	187.2770	33.2228	14.6680	37.5045	18.7523	3.9342
	187.2970	33.2275	14.6674	37.5101	18.7551	3.9342
	187.3170	33.2325	14.6660	37.5159	18.7580	3.9342
	187.3370	33.2376	14.6653	37.5218	18.7609	3.9342
	187.3570	33.2426	14.6660	37.5278	18.7639	3.9342
	187.3770	33.2476	14.6673	37.5336	18.7668	3.9342
	187.3970	33.2526	14.6676	37.5395	18.7697	3.9342
	187.4170	33.2576	14.6675	37.5452	18.7726	3.9342
	187.4370	33.2626	14.6672	37.5511	18.7756	3.9342
	187.4570	33.2676	14.6676	37.5570	18.7785	3.9342
	187.4770	33.2726	14.6675	37.5627	18.7814	3.9342
	187.4970	33.2776	14.6675	37.5686	18.7843	3.9342
	187.5170	33.2825	14.6677	37.5743	18.7872	3.9342
	187.5370	33.2876	14.6675	37.5803	18.7901	3.9342
	187.5570	33.2926	14.6681	37.5861	18.7931	3.9342
	187.5770	33.2977	14.6688	37.5921	18.7961	3.9342
	187.5970	33.3028	14.6701	37.5981	18.7990	3.9342
	187.6170	33.3077	14.6706	37.6038	18.8019	3.9342
	187.6370	33.3127	14.6699	37.6096	18.8048	3.9342
	187.6570	33.3176	14.6688	37.6153	18.8077	3.9342
	187.6770	33.3227	14.6681	37.6213	18.8107	3.9342
	187.6970	33.3277	14.6689	37.6272	18.8136	3.9342
	187.7170	33.3327	14.6696	37.6330	18.8165	3.9342
	187.7370	33.3377	14.6700	37.6388	18.8194	3.9342
	187.7570	33.3426	14.6698	37.6446	18.8223	3.9342
	187.7770	33.3476	14.6696	37.6504	18.8252	3.9342
	187.7970	33.3525	14.6695	37.6562	18.8281	3.9342
	187.8170	33.3575	14.6695	37.6620	18.8310	3.9342
	187.8370	33.3625	14.6695	37.6678	18.8339	3.9342
	187.8570	33.3675	14.6698	37.6737	18.8368	3.9342
	187.8770	33.3724	14.6700	37.6795	18.8397	3.9342
	187.8970	33.3776	14.6702	37.6855	18.8427	3.9342
	187.9170	33.3826	14.6713	37.6913	18.8456	3.9342
	187.9370	33.3877	14.6721	37.6973	18.8487	3.9342
	187.9570	33.3927	14.6730	37.7031	18.8515	3.9342
	187.9770	33.3975	14.6720	37.7087	18.8544	3.9342
	187.9970	33.4025	14.6709	37.7146	18.8573	3.9342
	188.0170	33.4075	14.6708	37.7204	18.8602	3.9342
	188.0370	33.4126	14.6713	37.7264	18.8632	3.9342
	188.0570	33.4175	14.6725	37.7321	18.8661	3.9342
	188.0770	33.4225	14.6727	37.7380	18.8690	3.9342
	188.0970	33.4275	14.6724	37.7438	18.8719	3.9342
	188.1170	33.4325	14.6722	37.7497	18.8748	3.9342
	188.1370	33.4375	14.6731	37.7556	18.8778	3.9342
	188.1570	33.4425	14.6735	37.7614	18.8807	3.9342
	188.1770	33.4476	14.6736	37.7673	18.8837	3.9342
	188.1970	33.4525	14.6738	37.7730	18.8865	3.9342
	188.2170	33.4575	14.6736	37.7789	18.8895	3.9342
	188.2370	33.4626	14.6740	37.7849	18.8924	3.9342
	188.2570	33.4677	14.6749	37.7908	18.8954	3.9342
	188.2770	33.4728	14.6759	37.7967	18.8984	3.9342
	188.2970	33.4777	14.6758	37.8025	18.9013	3.9342
	188.3170	33.4826	14.6751	37.8082	18.9041	3.9342
	188.3370	33.4876	14.6737	37.8140	18.9070	3.9342
	188.3570	33.4926	14.6738	37.8199	18.9100	3.9342
	188.3770	33.4977	14.6745	37.8258	18.9129	3.9342
	188.3970	33.5027	14.6756	37.8318	18.9159	3.9342
	188.4170	33.5076	14.6762	37.8374	18.9187	3.9342
	188.4370	33.5127	14.6757	37.8434	18.9217	3.9342
	188.4570	33.5176	14.6760	37.8492	18.9246	3.9342
	188.4770	33.5226	14.6757	37.8550	18.9275	3.9342
	188.4970	33.5276	14.6757	37.8608	18.9304	3.9342
	188.5170	33.5326	14.6754	37.8666	18.9333	3.9342
	188.5370	33.5376	14.6755	37.8725	18.9363	3.9342
	188.5570	33.5425	14.6761	37.8783	18.9391	3.9342
	188.5770	33.5477	14.6763	37.8843	18.9421	3.9342
	188.5970	33.5527	14.6772	37.8902	18.9451	3.9342
	188.6170	33.5578	14.6782	37.8961	18.9481	3.9342
	188.6370	33.5628	14.6788	37.9019	18.9509	3.9342
	188.6570	33.5676	14.6778	37.9076	18.9538	3.9342
	188.6770	33.5726	14.6768	37.9134	18.9567	3.9342
	188.6970	33.5776	14.6767	37.9193	18.9596	3.9342
	188.7170	33.5827	14.6772	37.9252	18.9626	3.9342
	188.7370	33.5877	14.6778	37.9310	18.9655	3.9342
	188.7570	33.5926	14.6780	37.9368	18.9684	3.9342
	188.7770	33.5976	14.6777	37.9426	18.9713	3.9342
	188.7970	33.6026	14.6779	37.9485	18.9743	3.9342
	188.8170	33.6074	14.6782	37.9541	18.9771	3.9342
	188.8370	33.6126	14.6777	37.9601	18.9801	3.9342
	188.8570	33.6176	14.6783	37.9660	18.9830	3.9342
	188.8770	33.6226	14.6788	37.9718	18.9859	3.9342
	188.8970	33.6277	14.6792	37.9778	18.9889	3.9342
	188.9170	33.6327	14.6798	37.9837	18.9918	3.9342
	188.9370	33.6379	14.6802	37.9897	18.9948	3.9342
	188.9570	33.6427	14.6809	37.9954	18.9977	3.9342
	188.9770	33.6477	14.6803	38.0012	19.0006	3.9342
	188.9970	33.6526	14.6794	38.0069	19.0034	3.9342
	189.0170	33.6575	14.6781	38.0127	19.0063	3.9342
	189.0370	33.6626	14.6783	38.0186	19.0093	3.9342
	189.0570	33.6675	14.6791	38.0244	19.0122	3.9342
	189.0770	33.6726	14.6798	38.0303	19.0151	3.9342
	189.0970	33.6775	14.6803	38.0360	19.0180	3.9342
	189.1170	33.6826	14.6801	38.0420	19.0210	3.9342
	189.1370	33.6876	14.6803	38.0478	19.0239	3.9342
	189.1570	33.6925	14.6801	38.0535	19.0268	3.9342
	189.1770	33.6975	14.6801	38.0594	19.0297	3.9342
	189.1970	33.7026	14.6805	38.0653	19.0327	3.9342
	189.2170	33.7075	14.6811	38.0711	19.0356	3.9342
	189.2370	33.7126	14.6813	38.0770	19.0385	3.9342
	189.2570	33.7177	14.6821	38.0830	19.0415	3.9342
	189.2770	33.7227	14.6825	38.0889	19.0444	3.9342
	189.2970	33.7277	14.6829	38.0947	19.0474	3.9342
	189.3170	33.7325	14.6829	38.1003	19.0502	3.9342
	189.3370	33.7376	14.6815	38.1062	19.0531	3.9342
	189.3570	33.7425	14.6811	38.1120	19.0560	3.9342
	189.3770	33.7476	14.6813	38.1179	19.0590	3.9342
	189.3970	33.7526	14.6825	38.1238	19.0619	3.9342
	189.4170	33.7575	14.6829	38.1296	19.0648	3.9342
	189.4370	33.7625	14.6828	38.1354	19.0677	3.9342
	189.4570	33.7675	14.6826	38.1411	19.0706	3.9342
	189.4770	33.7726	14.6825	38.1471	19.0736	3.9342
	189.4970	33.7775	14.6832	38.1529	19.0764	3.9342
	189.5170	33.7825	14.6833	38.1587	19.0794	3.9342
	189.5370	33.7876	14.6838	38.1646	19.0823	3.9342
	189.5570	33.7925	14.6840	38.1705	19.0852	3.9342
	189.5770	33.7976	14.6845	38.1764	19.0882	3.9342
	189.5970	33.8027	14.6852	38.1823	19.0912	3.9342
	189.6170	33.8078	14.6858	38.1883	19.0942	3.9342
	189.6370	33.8128	14.6865	38.1941	19.0971	3.9342
	189.6570	33.8177	14.6863	38.1999	19.0999	3.9342
	189.6770	33.8226	14.6849	38.2056	19.1028	3.9342
	189.6970	33.8276	14.6839	38.2115	19.1057	3.9342
	189.7170	33.8326	14.6842	38.2173	19.1086	3.9342
	189.7370	33.8377	14.6849	38.2232	19.1116	3.9342
	189.7570	33.8426	14.6858	38.2290	19.1145	3.9342
	189.7770	33.8476	14.6855	38.2348	19.1174	3.9342
	189.7970	33.8526	14.6856	38.2407	19.1203	3.9342
	189.8170	33.8575	14.6855	38.2464	19.1232	3.9342
	189.8370	33.8626	14.6852	38.2524	19.1262	3.9342
	189.8570	33.8675	14.6856	38.2581	19.1291	3.9342
	189.8770	33.8727	14.6859	38.2641	19.1321	3.9342
	189.8970	33.8776	14.6867	38.2699	19.1350	3.9342
	189.9170	33.8827	14.6866	38.2758	19.1379	3.9342
	189.9370	33.8878	14.6871	38.2818	19.1409	3.9342
	189.9570	33.8929	14.6878	38.2877	19.1439	3.9342
	189.9770	33.8979	14.6883	38.2936	19.1468	3.9342
	189.9970	33.9026	14.6879	38.2991	19.1496	3.9342
	190.0170	33.9075	14.6863	38.3049	19.1524	3.9342
	190.0370	33.9125	14.6854	38.3107	19.1554	3.9342
	190.0570	33.9176	14.6859	38.3166	19.1583	3.9342
	190.0770	33.9226	14.6873	38.3225	19.1612	3.9342
	190.0970	33.9277	14.6880	38.3284	19.1642	3.9342
	190.1170	33.9327	14.6883	38.3342	19.1671	3.9342
	190.1370	33.9376	14.6883	38.3401	19.1700	3.9342
	190.1570	33.9426	14.6884	38.3459	19.1730	3.9342
	190.1770	33.9476	14.6882	38.3517	19.1759	3.9342
	190.1970	33.9526	14.6880	38.3576	19.1788	3.9342
	190.2170	33.9576	14.6883	38.3633	19.1817	3.9342
	190.2370	33.9627	14.6886	38.3693	19.1846	3.9342
	190.2570	33.9676	14.6891	38.3751	19.1875	3.9342
	190.2770	33.9727	14.6893	38.3810	19.1905	3.9342
	190.2970	33.9778	14.6904	38.3870	19.1935	3.9342
	190.3170	33.9827	14.6907	38.3927	19.1964	3.9342
	190.3370	33.9877	14.6901	38.3985	19.1993	3.9342
	190.3570	33.9925	14.6891	38.4042	19.2021	3.9342
	190.3770	33.9977	14.6884	38.4102	19.2051	3.9342
	190.3970	34.0026	14.6892	38.4160	19.2080	3.9342
	190.4170	34.0077	14.6898	38.4219	19.2110	3.9342
	190.4370	34.0127	14.6905	38.4277	19.2139	3.9342
	190.4570	34.0176	14.6900	38.4336	19.2168	3.9342
	190.4770	34.0226	14.6898	38.4394	19.2197	3.9342
	190.4970	34.0275	14.6897	38.4450	19.2225	3.9342
	190.5170	34.0325	14.6892	38.4509	19.2255	3.9342
	190.5370	34.0375	14.6893	38.4567	19.2284	3.9342
	190.5570	34.0425	14.6900	38.4626	19.2313	3.9342
	190.5770	34.0475	14.6906	38.4684	19.2342	3.9342
	190.5970	34.0526	14.6912	38.4744	19.2372	3.9342
	190.6170	34.0576	14.6924	38.4803	19.2402	3.9342
	190.6370	34.0628	14.6932	38.4863	19.2432	3.9342
	190.6570	34.0677	14.6937	38.4921	19.2460	3.9342
	190.6770	34.0726	14.6926	38.4977	19.2489	3.9342
	190.6970	34.0776	14.6912	38.5036	19.2518	3.9342
	190.7170	34.0826	14.6910	38.5094	19.2547	3.9342
	190.7370	34.0877	14.6915	38.5154	19.2577	3.9342
	190.7570	34.0926	14.6925	38.5211	19.2606	3.9342
	190.7770	34.0976	14.6924	38.5270	19.2635	3.9342
	190.7970	34.1025	14.6924	38.5327	19.2664	3.9342
	190.8170	34.1075	14.6921	38.5386	19.2693	3.9342
	190.8370	34.1125	14.6930	38.5445	19.2722	3.9342
	190.8570	34.1175	14.6933	38.5503	19.2751	3.9342
	190.8770	34.1226	14.6934	38.5562	19.2781	3.9342
	190.8970	34.1275	14.6937	38.5619	19.2810	3.9342
	190.9170	34.1326	14.6935	38.5679	19.2840	3.9342
	190.9370	34.1377	14.6943	38.5738	19.2869	3.9342
	190.9570	34.1428	14.6950	38.5798	19.2899	3.9342
	190.9770	34.1478	14.6960	38.5857	19.2928	3.9342
	190.9970	34.1528	14.6962	38.5915	19.2957	3.9342
	191.0170	34.1576	14.6951	38.5971	19.2986	3.9342
	191.0370	34.1626	14.6937	38.6029	19.3015	3.9342
	191.0570	34.1676	14.6937	38.6089	19.3044	3.9342
	191.0770	34.1727	14.6943	38.6147	19.3074	3.9342
